Comment			
voltage(mV)		Control	.+Bup	diff
-86.9267		-185.079	-87.8754	-97.2036
-86.7802		-176.676	-92.4072	-84.2688
-86.6764		-176.554	-89.5843	-86.9697
-86.4954		-171.305	-88.623		-82.682
-86.3468		-177.266	-92.1326	-85.1334
-86.2919		-186.218	-84.6863	-101.5317
-86.0661		-167.44		-78.6438	-88.7962
-85.8586		-168.762	-76.3702	-92.3918
-85.7731		-165.751	-86.2274	-79.5236
-85.6714		-171.855	-88.9282	-82.9268
-85.5107		-170.43		-80.2002	-90.2298
-85.352			-168.091	-73.3643	-94.7267
-85.179			-171.02		-77.6062	-93.4138
-85.0265		-175.334	-75.2563	-100.0777
-84.9268		-174.357	-76.5839	-97.7731
-84.8556		-179.118	-77.0874	-102.0306
-84.6643		-177.999	-77.2095	-100.7895
-84.526			-181.722	-84.1217	-97.6003
-84.3449		-176.575	-76.9958	-99.5792
-84.1638		-181.783	-77.9571	-103.8259
-84.0194		-182.109	-80.5664	-101.5426
-83.9421		-184.489	-82.9315	-101.5575
-83.7284		-180.501	-88.5467	-91.9543
-83.6572		-179.301	-87.7075	-91.5935
-83.527			-181.783	-82.2754	-99.5076
-83.3419		-184.631	-84.8236	-99.8074
-83.1934		-174.662	-81.9702	-92.6918
-83.0001		-178.813	-76.2024	-102.6106
-83.0204		-179.382	-64.4989	-114.8831
-82.7804		-176.046	-62.8509	-113.1951
-82.5545		-180.644	-63.7512	-116.8928
-82.4772		-183.248	-66.2231	-117.0249
-82.3267		-183.655	-69.5343	-114.1207
-82.1354		-175.822	-70.6177	-105.2043
-82.0032		-164.49		-66.6504	-97.8396
-81.8547		-171.57		-60.8063	-110.7637
-81.7651		-176.473	-61.6608	-114.8122
-81.5881		-183.879	-66.4062	-117.4728
-81.4071		-184.55		-72.0062	-112.5438
-81.3013		-177.511	-74.6155	-102.8955
-81.1263		-184.53		-74.7223	-109.8077
-80.9371		-173.157	-77.3773	-95.7797
-80.8272		-168.66		-74.9664	-93.6936
