time(s)					voltage (mv)	control	SB488	SB488+SB779	diff (TRPV4 current)
0.056					-87.5732	-25.3296	-113.831	-39.0625    -74.7685
0.0565					-87.4634	-22.2778	-113.22		-37.8418    -75.3782
0.057					-87.3657	-22.8882	-104.065	-38.7573    -65.3077
0.0575					-87.262		-22.2778	-112.61		-37.2314    -75.3786
0.058					-87.1399	-23.8037	-113.525	-36.3159    -77.2091
0.0585					-87.0605	-24.1089	-120.85		-34.4849    -86.3651
0.059					-86.9385	-24.7192	-118.408	-43.0298    -75.3782
0.0595					-86.8652	-25.6348	-118.713	-40.8936    -77.8194
0.06					-86.7615	-23.8037	-127.258	-39.6729    -87.5851
0.0605					-86.6577	-26.5503	-125.427	-43.9453    -81.4817
0.061					-86.554		-23.1934	-121.155	-39.978	    -81.177
0.0615					-86.438		-25.9399	-114.136	-39.978	    -74.158
0.062					-86.3525	-24.1089	-129.7		-38.7573    -90.9427
0.0625					-86.2366	-25.0244	-113.831	-43.335	    -70.496
0.063					-86.1633	-25.3296	-127.563	-39.6729    -87.8901
0.0635					-86.0474	-24.4141	-134.888	-40.5884    -94.2996
0.064					-85.9741	-23.4985	-121.46		-39.6729    -81.7871
0.0645					-85.8582	-24.4141	-118.103	-45.166	    -72.937
0.065					-85.7483	-25.6348	-106.812	-39.978	    -66.834
0.0655					-85.6628	-24.4141	-103.76		-37.2314    -66.5286
0.066					-85.5774	-22.2778	-107.727	-39.978	    -67.749
0.0665					-85.4553	-25.0244	-116.272	-40.8936    -75.3784
0.067					-85.3638	-25.6348	-113.831	-41.1987    -72.6323
0.0675					-85.2539	-25.3296	-101.624	-35.7056    -65.9184
0.068					-85.1563	-22.583		-106.812	-40.5884    -66.2236
0.0685					-85.0647	-22.8882	-106.506	-39.978	    -66.528
0.069					-84.9609	-25.0244	-111.694	-36.0107    -75.6833
0.0695					-84.8511	-24.4141	-121.155	-39.3677    -81.7873
0.07					-84.7473	-26.5503	-111.084	-38.147	    -72.937
0.0705					-84.6619	-23.1934	-108.337	-38.7573    -69.5797
0.071					-84.5398	-25.3296	-104.065	-33.2642    -70.8008
0.0715					-84.4482	-22.8882	-107.422	-34.4849    -72.9371
0.072					-84.3689	-22.8882	-103.76		-39.3677    -64.3923
0.0725					-84.2529	-23.4985	-98.877		-39.978	    -58.899
0.073					-84.1553	-23.4985	-105.896	-35.7056    -70.1904
0.0735					-84.0576	-20.4468	-104.37		-35.4004    -68.9696
0.074					-83.9539	-22.2778	-101.624	-34.4849    -67.1391
0.0745					-83.8623	-22.8882	-109.558	-36.6211    -72.9369
0.075					-83.7769	-21.0571	-106.201	-42.1143    -64.0867
0.0755					-83.6609	-24.1089	-111.389	-40.2832    -71.1058
0.076					-83.5571	-24.7192	-107.727	-39.978	    -67.749
0.0765					-83.4717	-24.1089	-109.558	-36.0107    -73.5473
0.077					-83.3801	-20.4468	-116.577	-39.0625    -77.5145
0.0775					-83.2703	-22.583		-118.408	-40.8936    -77.5144
0.078					-83.1604	-23.8037	-116.577	-45.166	    -71.411
0.0785					-83.0505	-21.6675	-110.168	-37.8418    -72.3262
0.079					-82.9773	-25.9399	-110.474	-38.4521    -72.0219
0.0795					-82.8674	-26.8555	-114.441	-37.5366    -76.9044
0.08					-82.7698	-25.0244	-111.694	-38.147	    -73.547
0.0805					-82.666		-24.4141	-118.713	-35.0952    -83.6178
0.081					-82.5867	-23.4985	-112.61		-35.4004    -77.2096
0.0815					-82.4768	-25.9399	-112.61		-37.2314    -75.3786
0.082					-82.3792	-26.5503	-114.441	-34.1797    -80.2613
0.0825					-82.2815	-22.583		-104.675	-36.6211    -68.0539
0.083					-82.1655	-21.3623	-115.967	-30.8228    -85.1442
0.0835					-82.0679	-25.6348	-106.506	-39.6729    -66.8331
0.084					-81.958		-22.8882	-95.2148	-34.1797    -61.0351
0.0845					-81.8665	-21.0571	-98.877		-31.1279    -67.7491
0.085					-81.7688	-24.1089	-95.2148	-33.5693    -61.6455
0.0855					-81.665		-22.8882	-97.6563	-35.7056    -61.9507
0.086					-81.5735	-25.6348	-100.403	-33.5693    -66.8337
0.0865					-81.4514	-20.1416	-108.643	-31.4331    -77.2099
0.087					-81.3782	-20.4468	-106.506	-28.6865    -77.8195
0.0875					-81.2683	-23.8037	-106.506	-34.79	    -71.716
0.088					-81.1707	-25.3296	-109.558	-35.0952    -74.4628
0.0885					-81.0791	-22.8882	-101.929	-39.6729    -62.2561
0.089					-80.9509	-20.752		-110.474	-36.3159    -74.1581
0.0895					-80.8533	-27.4658	-116.882	-39.0625    -77.8195
0.09					-80.7495	-27.4658	-112.915	-37.2314    -75.6836
0.0905					-80.6519	-26.2451	-114.136	-29.2969    -84.8391
0.091					-80.5542	-26.8555	-119.324	-27.4658    -91.8582
0.0915					-80.4749	-23.8037	-112.305	-31.1279    -81.1771
0.092					-80.3589	-26.5503	-112.915	-29.6021    -83.3129
0.0925					-80.2734	-24.7192	-111.084	-37.2314    -73.8526
0.093					-80.1697	-27.1606	-112.915	-41.8091    -71.1059
0.0935					-80.0537	-26.5503	-110.168	-38.7573    -71.4107
0.094					-79.9561	-26.5503	-104.675	-35.7056    -68.9694
0.0945					-79.8706	-24.1089	-106.812	-33.8745    -72.9375
0.095					-79.7668	-25.3296	-104.675	-33.8745    -70.8005
0.0955					-79.6509	-23.8037	-111.084	-32.3486    -78.7354
0.096					-79.5715	-25.6348	-101.013	-31.1279    -69.8851
0.0965					-79.4861	-21.6675	-103.76		-33.5693    -70.1907
